date,team,goals_for,goals_against,venue,result,points,cumulative_points
2024-08-16,Man United,1,0,home,win,3,3
2024-08-16,Fulham,0,1,away,loss,0,0
2024-08-17,Arsenal,2,0,home,win,3,3
2024-08-17,Aston Villa,2,1,away,win,3,3
2024-08-17,Brighton,3,0,away,win,3,3
2024-08-17,Ipswich,0,2,home,loss,0,0
2024-08-17,Liverpool,2,0,away,win,3,3
2024-08-17,Bournemouth,1,1,away,draw,1,1
2024-08-17,Wolves,0,2,away,loss,0,0
2024-08-17,Southampton,0,1,away,loss,0,0
2024-08-17,Everton,0,3,home,loss,0,0
2024-08-17,Newcastle,1,0,home,win,3,3
2024-08-17,Nott'm Forest,1,1,home,draw,1,1
2024-08-17,West Ham,1,2,home,loss,0,0
2024-08-18,Crystal Palace,1,2,away,loss,0,0
2024-08-18,Man City,2,0,away,win,3,3
2024-08-18,Chelsea,0,2,home,loss,0,0
2024-08-18,Brentford,2,1,home,win,3,3
2024-08-19,Tottenham,1,1,away,draw,1,1
2024-08-19,Leicester,1,1,home,draw,1,1
2024-08-24,Southampton,0,1,home,loss,0,0
2024-08-24,Aston Villa,0,2,home,loss,0,3
2024-08-24,Tottenham,4,0,home,win,3,4
2024-08-24,Everton,0,4,away,loss,0,0
2024-08-24,Nott'm Forest,1,0,away,win,3,4
2024-08-24,Leicester,1,2,away,loss,0,1
2024-08-24,Ipswich,1,4,away,loss,0,0
2024-08-24,Crystal Palace,0,2,home,loss,0,0
2024-08-24,Man City,4,1,home,win,3,6
2024-08-24,Fulham,2,1,home,win,3,3
2024-08-24,Brighton,2,1,home,win,3,6
2024-08-24,Arsenal,2,0,away,win,3,6
2024-08-24,Man United,1,2,away,loss,0,3
2024-08-24,West Ham,2,0,away,win,3,3
2024-08-25,Liverpool,2,0,home,win,3,6
2024-08-25,Chelsea,6,2,away,win,3,3
2024-08-25,Brentford,0,2,away,loss,0,3
2024-08-25,Bournemouth,1,1,home,draw,1,2
2024-08-25,Wolves,2,6,home,loss,0,0
2024-08-25,Newcastle,1,1,away,draw,1,4
2024-08-31,Ipswich,1,1,home,draw,1,1
2024-08-31,Brentford,3,1,home,win,3,6
2024-08-31,West Ham,1,3,home,loss,0,3
2024-08-31,Leicester,1,2,home,loss,0,1
2024-08-31,Everton,2,3,home,loss,0,0
2024-08-31,Arsenal,1,1,home,draw,1,7
2024-08-31,Nott'm Forest,1,1,home,draw,1,5
2024-08-31,Bournemouth,3,2,away,win,3,5
2024-08-31,Aston Villa,2,1,away,win,3,6
2024-08-31,Wolves,1,1,away,draw,1,1
2024-08-31,Brighton,1,1,away,draw,1,7
2024-08-31,Man City,3,1,away,win,3,9
2024-08-31,Fulham,1,1,away,draw,1,4
2024-08-31,Southampton,1,3,away,loss,0,0
2024-09-01,Tottenham,1,2,away,loss,0,4
2024-09-01,Man United,0,3,home,loss,0,3
2024-09-01,Newcastle,2,1,home,win,3,7
2024-09-01,Liverpool,3,0,away,win,3,9
2024-09-01,Chelsea,1,1,home,draw,1,4
2024-09-01,Crystal Palace,1,1,away,draw,1,1
2024-09-14,West Ham,1,1,away,draw,1,4
2024-09-14,Leicester,2,2,away,draw,1,2
2024-09-14,Southampton,0,3,home,loss,0,0
2024-09-14,Brentford,1,2,away,loss,0,6
2024-09-14,Chelsea,1,0,away,win,3,7
2024-09-14,Everton,2,3,away,loss,0,0
2024-09-14,Brighton,0,0,home,draw,1,8
2024-09-14,Nott'm Forest,1,0,away,win,3,8
2024-09-14,Man United,3,0,away,win,3,6
2024-09-14,Crystal Palace,2,2,home,draw,1,2
2024-09-14,Liverpool,0,1,home,loss,0,9
2024-09-14,Man City,2,1,home,win,3,12
2024-09-14,Aston Villa,3,2,home,win,3,9
2024-09-14,Ipswich,0,0,away,draw,1,2
2024-09-14,Bournemouth,0,1,home,loss,0,5
2024-09-14,Fulham,1,1,home,draw,1,5
2024-09-15,Wolves,1,2,home,loss,0,1
2024-09-15,Newcastle,2,1,away,win,3,10
2024-09-15,Arsenal,1,0,away,win,3,10
2024-09-15,Tottenham,0,1,home,loss,0,4
2024-09-21,Ipswich,1,1,away,draw,1,3
2024-09-21,Aston Villa,3,1,home,win,3,12
2024-09-21,West Ham,0,3,home,loss,0,4
2024-09-21,Newcastle,1,3,away,loss,0,10
2024-09-21,Chelsea,3,0,away,win,3,10
2024-09-21,Bournemouth,0,3,away,loss,0,5
2024-09-21,Fulham,3,1,home,win,3,8
2024-09-21,Leicester,1,1,home,draw,1,3
2024-09-21,Liverpool,3,0,home,win,3,12
2024-09-21,Southampton,1,1,home,draw,1,1
2024-09-21,Everton,1,1,away,draw,1,1
2024-09-21,Wolves,1,3,away,loss,0,1
2024-09-21,Brentford,1,3,away,loss,0,6
2024-09-21,Man United,0,0,away,draw,1,7
2024-09-21,Crystal Palace,0,0,home,draw,1,3
2024-09-21,Tottenham,3,1,home,win,3,7
2024-09-22,Arsenal,2,2,away,draw,1,11
2024-09-22,Man City,2,2,home,draw,1,13
2024-09-22,Brighton,2,2,home,draw,1,9
2024-09-22,Nott'm Forest,2,2,away,draw,1,9
